AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT
10011,N10011,2017,756,380,6.11986,15,Ranch2,_7596,Ranch2_7596
10012,N10012,2017,718,370,4.390359,15,Ranch2,_7596,Ranch2_7596
10013,N10013,2017,862,410,4.602959,14,Ranch2,_7586,Ranch2_7586
10014,N10014,2017,685,490,4.051262,34,STOFI-StThom,_7596,STOFI-StThom_7596
10015,N10015,2017,955,390,4.479651,0,STOFI-StThom,_7586,STOFI-StThom_7586
10016,N10016,2017,809,490,4.827252,9,Ranch14,_7596,Ranch14_7596
10017,N10017,2017,806,510,4.385044,34,STOFI-StThom,_7596,STOFI-StThom_7596
10018,N10018,2017,866,360,5.310917,35,Ranch12,_7586,Ranch12_7586
10019,N10019,2017,859,510,4.364847,35,Ranch12,_7586,Ranch12_7586
10020,N10020,2017,886,480,4.48284,35,Ranch12,_7586,Ranch12_7586
10021,N10021,2017,896,350,3.981104,35,Ranch12,_7586,Ranch12_7586
10022,N10022,2017,765,480,4.383981,12,Ranch17,_F7,Ranch17_F7
10023,N10023,2017,856,390,5.304539,12,Ranch17,_F7,Ranch17_F7
10024,N10024,2017,918,410,4.271303,14,Ranch2,_7586,Ranch2_7586
10025,N10025,2017,921,420,4.009805,12,Ranch17,_F7,Ranch17_F7
10026,N10026,2017,767,410,6.085844,12,Ranch17,_F7,Ranch17_F7
10027,N10027,2017,910,370,5.945528,12,Ranch17,_F7,Ranch17_F7
10028,N10028,2017,779,480,4.720952,12,Ranch17,_F7,Ranch17_F7
10029,N10029,2017,845,390,3.912009,12,Ranch17,_F7,Ranch17_F7
10030,N10030,2017,735,520,5.005836,12,Ranch17,_F7,Ranch17_F7
10031,N10031,2017,881,450,5.967851,12,Ranch17,_F7,Ranch17_F7
10032,N10032,2017,742,380,4.681621,12,Ranch17,_F7,Ranch17_F7
10033,N10033,2017,779,360,4.730519,12,Ranch17,_F7,Ranch17_F7
10034,N10034,2017,825,410,5.07812,14,Ranch2,_7586,Ranch2_7586
10035,N10035,2017,862,390,4.600833,35,Ranch12,_7586,Ranch12_7586
10036,N10036,2017,687,370,5.193987,12,Ranch17,_F7,Ranch17_F7
10037,N10037,2017,770,390,5.199302,12,Ranch17,_F7,Ranch17_F7
10038,N10038,2017,868,430,4.395674,12,Ranch17,_F7,Ranch17_F7
10039,N10039,2017,856,350,4.325516,12,Ranch17,_F7,Ranch17_F7
10040,N10040,2017,654,390,5.923205,12,Ranch17,_F7,Ranch17_F7
10041,N10041,2017,798,410,5.842417,12,Ranch17,_F7,Ranch17_F7
10042,N10042,2017,803,410,4.410556,12,Ranch17,_F7,Ranch17_F7
10043,N10043,2017,,370,6.333523,12,Ranch17,_F7,Ranch17_F7
10044,N10044,2017,821,530,3.948151,14,Ranch2,_7586,Ranch2_7586
10045,N10045,2017,798,450,6.027379,3,Ranch11,_7586,Ranch11_7586
10046,N10046,2017,921,420,5.197176,12,Ranch17,_F7,Ranch17_F7
10047,N10047,2017,750,510,4.199019,12,Ranch17,_F7,Ranch17_F7
10048,N10048,2017,857,360,5.557533,14,Ranch2,_7586,Ranch2_7586
10049,N10049,2017,928,370,7.004276,3,Ranch11,_7586,Ranch11_7586
10050,N10050,2017,737,390,5.509698,12,Ranch17,_F7,Ranch17_F7
10051,N10051,2017,769,740,4.167129,12,Ranch17,_F7,Ranch17_F7
10052,N10052,2017,901,390,7.560225,3,Ranch11,_7586,Ranch11_7586
10053,N10053,2017,779,410,5.094065,34,STOFI-StThom,_7596,STOFI-StThom_7596
10054,N10054,2017,854,480,4.590203,23,Ranch5,_7596,Ranch5_7596
10055,N10055,2017,813,280,4.797488,3,Ranch11,_7586,Ranch11_7586
10056,N10056,2017,757,550,4.592329,12,Ranch17,_F7,Ranch17_F7
10057,N10057,2017,967,580,4.927174,12,Ranch17,_F7,Ranch17_F7
10058,N10058,2017,850,450,5.303476,12,Ranch17,_F7,Ranch17_F7
10059,N10059,2017,748,460,4.829378,12,Ranch17,_F7,Ranch17_F7
10060,N10060,2017,896,380,5.041978,12,Ranch17,_F7,Ranch17_F7
10061,N10061,2017,1031,420,4.653983,12,Ranch17,_F7,Ranch17_F7
10062,N10062,2017,,410,4.681621,12,Ranch17,_F7,Ranch17_F7
10063,N10063,2017,772,510,5.147215,12,Ranch17,_F7,Ranch17_F7
10064,N10064,2017,1043,250,5.197176,14,Ranch2,_7586,Ranch2_7586
10065,N10065,2017,764,420,5.724424,3,Ranch11,_7586,Ranch11_7586
10066,N10066,2017,694,390,6.467461,12,Ranch17,_F7,Ranch17_F7
10067,N10067,2017,796,550,4.456265,25,Ranch6,_7556,Ranch6_7556
10068,N10068,2017,960,510,4.414808,25,Ranch6,_7556,Ranch6_7556
10069,N10069,2017,865,510,4.864457,25,Ranch6,_7556,Ranch6_7556
10070,N10070,2017,867,710,5.366193,25,Ranch6,_7556,Ranch6_7556
10071,N10071,2017,729,390,4.726267,25,Ranch6,_7556,Ranch6_7556
10072,N10072,2017,766,390,5.201428,25,Ranch6,_7556,Ranch6_7556
10073,N10073,2017,767,510,4.314886,25,Ranch6,_7556,Ranch6_7556
10074,N10074,2017,893,630,6.676872,0,Ranch8,_7556,Ranch8_7556
