AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT,PC1,PC2
10072,N10072,2017,766,390,5.201428,25,Ranch6,_7556,Ranch6_7556,-0.00593097,0.0113561
10073,N10073,2017,767,510,4.314886,25,Ranch6,_7556,Ranch6_7556,-0.0061521,0.0663912
10074,N10074,2017,893,630,6.676872,-999,Ranch8,_7556,Ranch8_7556,0.0144265,-0.0195464
10075,N10075,2017,866,510,4.658235,-999,Ranch5,_7556,Ranch5_7556,0.0144528,-0.0320321
10076,N10076,2017,889,540,4.79111,25,Ranch6,_7556,Ranch6_7556,0.00206928,0.00522358
10077,N10077,2017,749,580,4.539179,25,Ranch6,_7556,Ranch6_7556,-0.00633673,-0.00154672
10078,N10078,2017,778,620,5.039852,-999,STOFI-Bright,_7556,STOFI-Bright_7556,-0.00662511,0.0331965
10079,N10079,2017,881,710,4.612526,25,Ranch6,_7556,Ranch6_7556,-0.00851941,0.063833
10080,N10080,2017,933,740,4.577447,25,Ranch6,_7556,Ranch6_7556,-0.00564455,0.0708142
10081,N10081,2017,781,610,4.863394,25,Ranch6,_7556,Ranch6_7556,-0.00903949,0.0118404
10082,N10082,2017,944,380,4.976072,25,Ranch6,_7556,Ranch6_7556,0.0253913,-0.0599905
10083,N10083,2017,952,850,4.7167,25,Ranch6,_7556,Ranch6_7556,-0.0103226,0.0636436
10084,N10084,2017,867,390,4.056577,25,Ranch6,_7556,Ranch6_7556,-0.00873913,0.0399515
10085,N10085,2017,989,420,5.077057,25,Ranch6,_7556,Ranch6_7556,-0.00961927,0.0840454
10086,N10086,2017,831,410,4.645479,25,Ranch6,_7556,Ranch6_7556,-0.00634044,-0.000263073
10087,N10087,2017,820,480,4.731582,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.000151993,0.0161098
10088,N10088,2017,899,490,5.105758,25,Ranch6,_7556,Ranch6_7556,-0.00335887,0.0720173
10089,N10089,2017,952,610,6.090096,25,Ranch6,_7556,Ranch6_7556,-0.00532626,0.0406168
10090,N10090,2017,810,810,4.196893,25,Ranch6,_7556,Ranch6_7556,-0.0089031,0.0472015
10091,N10091,2017,839,380,4.702881,-999,STOFI-Bright,_7556,STOFI-Bright_7556,-0.0103377,-0.0317966
10092,N10092,2017,872,610,4.413745,25,Ranch6,_7556,Ranch6_7556,-0.00232628,0.066277
10093,N10093,2017,769,430,4.754968,25,Ranch6,_7556,Ranch6_7556,0.00229765,-0.00720902
10094,N10094,2017,857,480,4.226657,25,Ranch6,_7556,Ranch6_7556,0.00397389,0.0364682
10095,N10095,2017,808,480,4.409493,25,Ranch6,_7556,Ranch6_7556,0.000412643,0.0533758
10096,N10096,2017,875,370,5.080246,12,Ranch17,_F7,Ranch17_F7,-0.0132837,-0.035251
10097,N10097,2017,898,370,4.151184,25,Ranch6,_7556,Ranch6_7556,-0.00285494,-0.00732481
10098,N10098,2017,-999,490,4.499848,12,Ranch17,_F7,Ranch17_F7,-0.0107796,-0.0261438
10099,N10099,2017,825,410,4.729456,25,Ranch6,_7556,Ranch6_7556,-0.00228556,0.00567915
10100,N10100,2017,973,430,5.369382,25,Ranch6,_7556,Ranch6_7556,-0.00871046,-0.0131016
10101,N10101,2017,880,410,4.568943,12,Ranch17,_F7,Ranch17_F7,-0.0103691,-0.0156478
10102,N10102,2017,923,320,5.236507,25,Ranch6,_7556,Ranch6_7556,0.00378223,-0.0406997
10103,N10103,2017,843,590,4.147995,-999,STOFI-Bright,_7556,STOFI-Bright_7556,-0.0118992,-0.0159023
10104,N10104,2017,925,420,4.257484,25,Ranch6,_7556,Ranch6_7556,0.00777774,-0.029289
10105,N10105,2017,818,380,4.294689,25,Ranch6,_7556,Ranch6_7556,0.00959942,-0.0590745
10106,N10106,2017,781,420,4.234098,25,Ranch6,_7556,Ranch6_7556,-0.00506651,0.0215708
20001,N20001,2017,935,510,5.495879,9,Ranch14,_7596,Ranch14_7596,0.00631616,0.0323177
20002,N20002,2017,808,510,4.668865,15,Ranch2,_7596,Ranch2_7596,-0.00155512,-0.0320991
20003,N20003,2017,836,380,6.085844,15,Ranch2,_7596,Ranch2_7596,-0.000104694,-0.000759448
20004,N20004,2017,653,410,3.854607,15,Ranch2,_7596,Ranch2_7596,0.00876696,0.0386732
20005,N20005,2017,783,410,4.204334,15,Ranch2,_7596,Ranch2_7596,0.0104918,-0.0445945
20006,N20006,2017,831,570,4.568943,15,Ranch2,_7596,Ranch2_7596,-0.0145469,-0.0393507
20007,N20007,2017,753,560,3.797205,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00924623,-0.0159515
20008,N20008,2017,829,420,4.793236,9,Ranch14,_7596,Ranch14_7596,0.00500649,0.0255925
20009,N20009,2017,798,560,7.591052,15,Ranch2,_7596,Ranch2_7596,-0.00365768,-0.0146733
20010,N20010,2017,781,390,5.00371,-999,STOFI-Parker,_7596,STOFI-Parker_7596,0.015874,0.040479
20011,N20011,2017,727,410,3.227437,23,Ranch5,_7596,Ranch5_7596,0.00414772,0.0432318
20012,N20012,2017,773,490,5.305602,9,Ranch14,_7596,Ranch14_7596,0.000772103,0.0273658
20013,N20013,2017,898,520,3.029719,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00455938,0.0158876
20014,N20014,2017,864,480,4.898473,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0070636,0.0482906
20015,N20015,2017,816,380,5.628754,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00210622,-0.0117559
