UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
N40108,2017,860,1,Ranch1,_77146,Ranch1_77146,0.00580851,0.0520304
N40109,2017,764,1,Ranch1,_77146,Ranch1_77146,-0.00590525,0.0495645
N40110,2017,961,1,Ranch1,_77146,Ranch1_77146,-0.0133775,-0.042256
N40111,2017,784,1,Ranch1,_77146,Ranch1_77146,-0.00648125,0.0815637
N50001,2017,883,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.0084726,0.0597975
N50002,2017,826,13,Ranch2,_7566,Ranch2_7566,0.00796495,-0.0321989
N50004,2017,760,2,Ranch11,_7566,Ranch11_7566,0.0157325,-0.0731763
N50005,2017,805,13,Ranch2,_7566,Ranch2_7566,0.0087322,0.0345979
N50006,2017,903,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00528056,-0.0205099
N50007,2017,711,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.00312796,0.0386643
N50008,2017,836,2,Ranch11,_7566,Ranch11_7566,0.0119002,-0.0559787
N50009,2017,752,33,STOFI-StThom,_7566,STOFI-StThom_7566,0.0147243,-0.0116881
N50010,2017,894,22,Ranch5,_7566,Ranch5_7566,-0.0107529,0.00761184
N50011,2017,780,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00869138,0.0346799
N50012,2017,893,8,Ranch14,_7566,Ranch14_7566,0.00938863,0.0120081
N50013,2017,921,8,Ranch14,_7566,Ranch14_7566,0.000724717,0.0382771
N50014,2017,861,22,Ranch5,_7566,Ranch5_7566,0.0125082,-0.0120371
N50015,2017,709,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00516835,0.0462844
N50016,2017,888,22,Ranch5,_7566,Ranch5_7566,0.00517894,0.000485611
N50017,2017,864,2,Ranch11,_7566,Ranch11_7566,0.00767554,-0.0313632
N50018,2017,805,2,Ranch11,_7566,Ranch11_7566,0.00674948,-0.027846
N50019,2017,766,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00661458,0.0136593
N50020,2017,953,22,Ranch5,_7566,Ranch5_7566,0.0108793,-0.0484594
N50021,2017,853,22,Ranch5,_7566,Ranch5_7566,0.00418513,-0.0308428
N50022,2017,835,2,Ranch11,_7566,Ranch11_7566,-0.000845112,-0.00207027
N50023,2017,840,13,Ranch2,_7566,Ranch2_7566,-0.00499174,-0.0252142
N50024,2017,789,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00685698,0.0565452
N50025,2017,728,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.0101809,-0.0102502
N50026,2017,842,2,Ranch11,_7566,Ranch11_7566,0.0122604,-0.0603048
N50027,2017,916,2,Ranch11,_7566,Ranch11_7566,-0.00353654,-0.0062945
N50028,2017,781,22,Ranch5,_7566,Ranch5_7566,0.00307412,-0.00390414
N50029,2017,854,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00484841,-0.0142715
N50030,2017,880,22,Ranch5,_7566,Ranch5_7566,-0.00259132,-0.00130787
N50031,2017,912,13,Ranch2,_7566,Ranch2_7566,0.0115004,-0.00696545
N50032,2017,879,33,STOFI-StThom,_7566,STOFI-StThom_7566,-0.00487578,-0.0207053
N50033,2017,799,2,Ranch11,_7566,Ranch11_7566,-0.0095062,-0.00253499
N50034,2017,756,2,Ranch11,_7566,Ranch11_7566,0.00915933,-0.0517837
N50035,2017,779,2,Ranch11,_7566,Ranch11_7566,0.0045011,-0.0112114
N50036,2017,913,2,Ranch11,_7566,Ranch11_7566,0.000216048,-0.0194297
N50037,2017,888,2,Ranch11,_7566,Ranch11_7566,-0.00887708,0.000299677
N50038,2017,723,4,Ranch11,_7606,Ranch11_7606,0.00798597,-0.0187372
N50039,2017,818,6,Ranch12,_7626,Ranch12_7626,0.000343581,-0.0162491
N50040,2017,788,17,Ranch2,_7626,Ranch2_7626,-0.00825434,0.0487645
N50041,2017,752,6,Ranch12,_7626,Ranch12_7626,0.00355963,-0.0191946
N50042,2017,708,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00101235,0.0196122
