UFID_Corrected,YEAR,Marbling,CG,Ranch,LOT,RanchLOT,PC1,PC2
N20032,2017,420,9,Ranch14,_7596,Ranch14_7596,0.00483254,0.00153335
N20033,2017,510,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.000289551,-0.003594
N20034,2017,450,15,Ranch2,_7596,Ranch2_7596,0.00344208,-0.00661361
N20035,2017,390,23,Ranch5,_7596,Ranch5_7596,0.00313028,-0.028592
N20036,2017,360,9,Ranch14,_7596,Ranch14_7596,0.00037449,-0.0269471
N20037,2017,440,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.0072795,0.0273409
N20038,2017,410,11,Ranch17,_7126,Ranch17_7126,-0.00317951,-0.0305247
N20039,2017,290,11,Ranch17,_7126,Ranch17_7126,-0.00851979,-0.0350996
N20041,2017,340,11,Ranch17,_7126,Ranch17_7126,-0.016011,-0.0203308
N20043,2017,360,11,Ranch17,_7126,Ranch17_7126,-0.00529743,-0.0320878
N20044,2017,440,11,Ranch17,_7126,Ranch17_7126,-0.00854732,-0.0344542
N20045,2017,320,11,Ranch17,_7126,Ranch17_7126,-0.00188593,-0.0409416
N20046,2017,320,11,Ranch17,_7126,Ranch17_7126,-0.0136707,-0.0307602
N20047,2017,430,11,Ranch17,_7126,Ranch17_7126,-0.00437358,-0.0241122
N20048,2017,380,11,Ranch17,_7126,Ranch17_7126,-0.011329,-0.0124607
N20049,2017,480,11,Ranch17,_7126,Ranch17_7126,-0.00698273,-0.028397
N20050,2017,380,11,Ranch17,_7126,Ranch17_7126,-0.00197419,-0.0346621
N20051,2017,510,11,Ranch17,_7126,Ranch17_7126,-0.0080116,-0.0369159
N20052,2017,340,11,Ranch17,_7126,Ranch17_7126,-0.00637062,-0.0157691
N20053,2017,430,11,Ranch17,_7126,Ranch17_7126,-0.0118208,-0.00771901
N20054,2017,360,11,Ranch17,_7126,Ranch17_7126,-0.00785461,-0.0332531
N20055,2017,710,11,Ranch17,_7126,Ranch17_7126,-0.0107064,-0.022552
N20056,2017,550,11,Ranch17,_7126,Ranch17_7126,-0.00698903,-0.0476842
N20057,2017,380,11,Ranch17,_7126,Ranch17_7126,-0.00603705,-0.0184121
N20058,2017,380,11,Ranch17,_7126,Ranch17_7126,-0.0123525,-0.0274884
N20059,2017,320,11,Ranch17,_7126,Ranch17_7126,-0.00707698,-0.0247054
N20060,2017,420,11,Ranch17,_7126,Ranch17_7126,-0.00918558,-0.0435018
N20061,2017,380,11,Ranch17,_7126,Ranch17_7126,-0.0115796,-0.0323604
N20062,2017,420,11,Ranch17,_7126,Ranch17_7126,-0.00854266,-0.0464752
N20063,2017,430,11,Ranch17,_7126,Ranch17_7126,-0.0144364,-0.0283614
N20064,2017,510,11,Ranch17,_7126,Ranch17_7126,-0.00703354,-0.0453965
